中曆紀日	西曆紀日	正朔組	舊年號	新年號
0814-12C-16	0595-02-01	正朔二	開皇十五年	開皇十四年
0814-12C-17	0595-02-02	正朔二	開皇十五年	開皇十四年
0814-12C-18	0595-02-03	正朔二	開皇十五年	開皇十四年
0814-12C-19	0595-02-04	正朔二	開皇十五年	開皇十四年
0814-12C-20	0595-02-05	正朔二	開皇十五年	開皇十四年
0814-12C-21	0595-02-06	正朔二	開皇十五年	開皇十四年
0814-12C-22	0595-02-07	正朔二	開皇十五年	開皇十四年
0814-12C-23	0595-02-08	正朔二	開皇十五年	開皇十四年
0814-12C-24	0595-02-09	正朔二	開皇十五年	開皇十四年
0814-12C-25	0595-02-10	正朔二	開皇十五年	開皇十四年
0814-12C-26	0595-02-11	正朔二	開皇十五年	開皇十四年
0814-12C-27	0595-02-12	正朔二	開皇十五年	開皇十四年
0814-12C-28	0595-02-13	正朔二	開皇十五年	開皇十四年
0814-12C-29	0595-02-14	正朔二	開皇十五年	開皇十四年
0815-11C-26	0596-01-01	正朔二	開皇十六年	開皇十五年
0815-11C-27	0596-01-02	正朔二	開皇十六年	開皇十五年
0815-11C-28	0596-01-03	正朔二	開皇十六年	開皇十五年
0815-11C-29	0596-01-04	正朔二	開皇十六年	開皇十五年
0815-11C-30	0596-01-05	正朔二	開皇十六年	開皇十五年
0815-12C-01	0596-01-06	正朔二	開皇十六年	開皇十五年
0815-12C-02	0596-01-07	正朔二	開皇十六年	開皇十五年
0815-12C-03	0596-01-08	正朔二	開皇十六年	開皇十五年
0815-12C-04	0596-01-09	正朔二	開皇十六年	開皇十五年
0815-12C-05	0596-01-10	正朔二	開皇十六年	開皇十五年
0815-12C-06	0596-01-11	正朔二	開皇十六年	開皇十五年
