中曆紀日	西曆紀日	正朔組	舊年號	新年號
0806-12C-26	0587-02-09	正朔二	開皇七年	開皇六年
0806-12C-27	0587-02-10	正朔二	開皇七年	開皇六年
0806-12C-28	0587-02-11	正朔二	開皇七年	開皇六年
0806-12C-29	0587-02-12	正朔二	開皇七年	開皇六年
0806-12C-30	0587-02-13	正朔二	開皇七年	開皇六年
0807-11C-27	0588-01-01	正朔一	祯明二年	祯明元年
0807-11C-27	0588-01-01	正朔二	開皇八年	開皇七年
0807-11C-28	0588-01-02	正朔一	祯明二年	祯明元年
0807-11C-28	0588-01-02	正朔二	開皇八年	開皇七年
0807-11C-29	0588-01-03	正朔一	祯明二年	祯明元年
0807-11C-29	0588-01-03	正朔二	開皇八年	開皇七年
0807-12C-01	0588-01-04	正朔一	祯明二年	祯明元年
0807-12C-01	0588-01-04	正朔二	開皇八年	開皇七年
0807-12C-02	0588-01-05	正朔一	祯明二年	祯明元年
0807-12C-02	0588-01-05	正朔二	開皇八年	開皇七年
0807-12C-03	0588-01-06	正朔一	祯明二年	祯明元年
0807-12C-03	0588-01-06	正朔二	開皇八年	開皇七年
0807-12C-04	0588-01-07	正朔一	祯明二年	祯明元年
0807-12C-04	0588-01-07	正朔二	開皇八年	開皇七年
0807-12C-05	0588-01-08	正朔一	祯明二年	祯明元年
0807-12C-05	0588-01-08	正朔二	開皇八年	開皇七年
0807-12C-06	0588-01-09	正朔一	祯明二年	祯明元年
0807-12C-06	0588-01-09	正朔二	開皇八年	開皇七年
0807-12C-07	0588-01-10	正朔一	祯明二年	祯明元年
0807-12C-07	0588-01-10	正朔二	開皇八年	開皇七年
0807-12C-08	0588-01-11	正朔一	祯明二年	祯明元年
0807-12C-08	0588-01-11	正朔二	開皇八年	開皇七年
0807-12C-09	0588-01-12	正朔一	祯明二年	祯明元年
0807-12C-09	0588-01-12	正朔二	開皇八年	開皇七年
0807-12C-10	0588-01-13	正朔一	祯明二年	祯明元年
0807-12C-10	0588-01-13	正朔二	開皇八年	開皇七年
0807-12C-11	0588-01-14	正朔一	祯明二年	祯明元年
0807-12C-11	0588-01-14	正朔二	開皇八年	開皇七年
0807-12C-12	0588-01-15	正朔一	祯明二年	祯明元年
0807-12C-12	0588-01-15	正朔二	開皇八年	開皇七年
0807-12C-13	0588-01-16	正朔一	祯明二年	祯明元年
0807-12C-13	0588-01-16	正朔二	開皇八年	開皇七年
0807-12C-14	0588-01-17	正朔一	祯明二年	祯明元年
0807-12C-14	0588-01-17	正朔二	開皇八年	開皇七年
0807-12C-15	0588-01-18	正朔一	祯明二年	祯明元年
0807-12C-15	0588-01-18	正朔二	開皇八年	開皇七年
0807-12C-16	0588-01-19	正朔一	祯明二年	祯明元年
0807-12C-16	0588-01-19	正朔二	開皇八年	開皇七年
0807-12C-17	0588-01-20	正朔一	祯明二年	祯明元年
0807-12C-17	0588-01-20	正朔二	開皇八年	開皇七年
0807-12C-18	0588-01-21	正朔一	祯明二年	祯明元年
0807-12C-18	0588-01-21	正朔二	開皇八年	開皇七年
0807-12C-19	0588-01-22	正朔一	祯明二年	祯明元年
0807-12C-19	0588-01-22	正朔二	開皇八年	開皇七年
0807-12C-20	0588-01-23	正朔一	祯明二年	祯明元年
0807-12C-20	0588-01-23	正朔二	開皇八年	開皇七年
0807-12C-21	0588-01-24	正朔一	祯明二年	祯明元年
0807-12C-21	0588-01-24	正朔二	開皇八年	開皇七年
0807-12C-22	0588-01-25	正朔一	祯明二年	祯明元年
0807-12C-22	0588-01-25	正朔二	開皇八年	開皇七年
0807-12C-23	0588-01-26	正朔一	祯明二年	祯明元年
0807-12C-23	0588-01-26	正朔二	開皇八年	開皇七年
0807-12C-24	0588-01-27	正朔一	祯明二年	祯明元年
0807-12C-24	0588-01-27	正朔二	開皇八年	開皇七年
0807-12C-25	0588-01-28	正朔一	祯明二年	祯明元年
0807-12C-25	0588-01-28	正朔二	開皇八年	開皇七年
0807-12C-26	0588-01-29	正朔一	祯明二年	祯明元年
0807-12C-26	0588-01-29	正朔二	開皇八年	開皇七年
0807-12C-27	0588-01-30	正朔一	祯明二年	祯明元年
0807-12C-27	0588-01-30	正朔二	開皇八年	開皇七年
0807-12C-28	0588-01-31	正朔一	祯明二年	祯明元年
0807-12C-28	0588-01-31	正朔二	開皇八年	開皇七年
0807-12C-29	0588-02-01	正朔一	祯明二年	祯明元年
0807-12C-29	0588-02-01	正朔二	開皇八年	開皇七年
0807-12C-30	0588-02-02	正朔一	祯明二年	祯明元年
0807-12C-30	0588-02-02	正朔二	開皇八年	開皇七年
0808-12C-09	0589-01-01	正朔一	祯明三年	祯明二年
0808-12C-09	0589-01-01	正朔二	開皇九年	開皇八年
0808-12C-10	0589-01-02	正朔一	祯明三年	祯明二年
0808-12C-10	0589-01-02	正朔二	開皇九年	開皇八年
